N_wppm,region,cooling,classC_index,classA_index,waste_class,C14_Ci_m3,Nb94_Ci_m3,Ni63_Ci_m3,Mn53_Ci_m3,Zr93_Ci_m3,top_classC
50,BLK_mid,1d,0.15707315033702635,2.899192043608614,Class C,0.7144836630818169,0.029265329331887052,1.84357363601505,1.3847953512623662e-10,9.850776857461527e-05,Nb94:0.146;C14:0.009;Tc99:0.001;Ni63:0.000
50,BLK_mid,1wk,0.15707827016304496,2.8991824475157597,Class C,0.714482235817943,0.029265312916771972,1.8433662201788554,1.3847953470007836e-10,9.850776922129026e-05,Nb94:0.146;C14:0.009;Tc99:0.001;Ni63:0.000
50,BLK_mid,1mo,0.15707925287493182,2.8989592919126306,Class C,0.7144767646661775,0.029265249992249342,1.8425713422977184,1.384795330664724e-10,9.850776641113303e-05,Nb94:0.146;C14:0.009;Tc99:0.001;Ni63:0.000
50,BLK_mid,1yr,0.15707201976779409,2.895502175785186,Class C,0.7143970214380503,0.029264332814294178,1.831023967114431,1.3847950925488792e-10,9.850772544893761e-05,Nb94:0.146;C14:0.009;Tc99:0.001;Ni63:0.000
50,BLK_mid,10yr,0.1570016036936777,2.8626929219448027,Class C,0.7136155809870623,0.02925534106849809,1.7215617073511207,1.38479275773728e-10,9.850732380039327e-05,Nb94:0.146;C14:0.009;Tc99:0.001;Ni63:0.000
50,BLK_mid,100yr,0.15634200215881494,2.621768447299526,Class C,0.7058480352010656,0.029165575424543656,0.9294119343359837,1.384769409837785e-10,9.850330740501868e-05,Nb94:0.146;C14:0.009;Tc99:0.001;Ni63:0.000
50,BLK_mid,1000yr,0.15087648859083833,2.221078951025827,Class C,0.632674125765151,0.02828292917752881,0.0019546308650267314,1.3845359524925184e-10,9.846315245690095e-05,Nb94:0.141;C14:0.008;Tc99:0.001
50,BLK_back,shutdown,0.08418831921230262,1.4474336071488372,Class C,0.3328656827302027,0.01583264946774667,0.8125430596504115,9.48042024494727e-12,3.9484358575573595e-05,Nb94:0.079;C14:0.004;Tc99:0.001;Ni63:0.000
50,BLK_back,1d,0.08418967583503141,1.447442711653477,Class C,0.3328655719071515,0.015832740525887814,0.8125278227516001,9.480420373823367e-12,3.948436028422547e-05,Nb94:0.079;C14:0.004;Tc99:0.001;Ni63:0.000
50,BLK_back,1wk,0.08419214703836311,1.447440655044996,Class C,0.3328649069696168,0.015832731645199855,0.8124364072884496,9.480420344648233e-12,3.9484360416514244e-05,Nb94:0.079;C14:0.004;Tc99:0.001;Ni63:0.000
50,BLK_back,1mo,0.08419260984192599,1.4473426971699102,Class C,0.3328623580547075,0.015832697602608768,0.8120860766146443,9.480420232810248e-12,3.948435929012649e-05,Nb94:0.079;C14:0.004;Tc99:0.001;Ni63:0.000
50,BLK_back,1yr,0.08418893706333822,1.4458155576517278,Class C,0.33282520706496793,0.015832201403149834,0.8069967417310889,9.480418602650014e-12,3.9484342871461295e-05,Nb94:0.079;C14:0.004;Tc99:0.001;Ni63:0.000
50,BLK_back,10yr,0.08415314667222028,1.431317421870477,Class C,0.33246114748450506,0.015827336808036285,0.7587528691450165,9.480402618341987e-12,3.94841818807495e-05,Nb94:0.079;C14:0.004;Tc99:0.001;Ni63:0.000
50,BLK_back,100yr,0.08381497126953881,1.3245552009117911,Class C,0.3288423823482686,0.015778772989302102,0.4096245686598672,9.480242776743842e-12,3.948257200973327e-05,Nb94:0.079;C14:0.004;Tc99:0.001
50,BLK_back,1000yr,0.08094040350781118,1.1412448550568368,Class C,0.2947519244811044,0.015301255417343401,0.0008614746544521949,9.478644508977797e-12,3.946647690925013e-05,Nb94:0.077;C14:0.004;Tc99:0.001
50,DIV,shutdown,0.08866013131078071,3.3296187436624596,Class C,1.069178441709889,0.014381104940733476,4.33942703869083,2.001339421471753e-09,0.0003335278579493571,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
50,DIV,1d,0.0886637406134964,3.329630871046076,Class C,1.069178085741631,0.014381175374677684,4.339345665834695,2.0013395891309314e-09,0.00033352789194805824,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
50,DIV,1wk,0.08867278064222119,3.3295774861033323,Class C,1.0691759499345659,0.01438116730818214,4.338857456960243,2.0013395829719895e-09,0.0003335278978087353,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
50,DIV,1mo,0.08867484237205661,3.329047080861445,Class C,1.0691677627136769,0.01438113638665773,4.3369864983931405,2.001339559362723e-09,0.0003335278882942993,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
50,DIV,1yr,0.08866721182041583,3.320966711547262,Class C,1.0690484321867437,0.014380685679376315,4.309806649715286,2.001339215231969e-09,0.0003335277496043766,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
50,DIV,10yr,0.08859359348003765,3.244422546575858,Class C,1.0678790576458277,0.014376267076334074,4.052157823979686,2.001335840906023e-09,0.00033352638970154166,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.001
50,DIV,100yr,0.08796041226201809,2.6903908844362543,Class C,1.056255433253128,0.014332155648313243,2.1876205920114202,2.0013020979594285e-09,0.00033351279097814523,Nb94:0.072;C14:0.013;Tc99:0.003;Ni63:0.000
50,DIV,1000yr,0.08410172654225301,1.907425087535851,Class C,0.9467554622118542,0.013898417475468187,0.004600748680044164,2.0009646997821247e-09,0.00033337683423546177,Nb94:0.069;C14:0.012;Tc99:0.003;Ni59:0.000
100,FW,shutdown,0.08269033778962173,3.78183023062392,Class C,1.733121219959511,0.01165577099524644,3.5170710471834714,1.0238171596960281e-09,0.0002703216720004354,Nb94:0.058;C14:0.022;Tc99:0.002;Ni63:0.001
100,FW,1d,0.0826932594943532,3.7818396991349377,Class C,1.7331206429406365,0.011655828081397127,3.517005095131784,1.0238172958892944e-09,0.00027032169955611157,Nb94:0.058;C14:0.022;Tc99:0.002;Ni63:0.001
100,FW,1wk,0.08270056472743952,3.781794267245838,Class C,1.73311718083141,0.011655821543566746,3.5166094057280888,1.0238172927385897e-09,0.0002703217043061439,Nb94:0.058;C14:0.022;Tc99:0.002;Ni63:0.001
100,FW,1mo,0.0827021527970811,3.7813560834258326,Class C,1.7331039094767868,0.011655796481917531,3.515093008713425,1.0238172806608908e-09,0.0002703216965947693,Nb94:0.058;C14:0.022;Tc99:0.002;Ni63:0.001
100,FW,1yr,0.08269475934024215,3.7746861129126663,Class C,1.7329104765937924,0.01165543118725626,3.493063957873442,1.0238171046152964e-09,0.0002703215841876915,Nb94:0.058;C14:0.022;Tc99:0.002;Ni63:0.000
100,FW,10yr,0.08262324515242805,3.7114629660128418,Class C,1.7310149390933363,0.011651849944688904,3.2842416370333885,1.0238153784248556e-09,0.00027032048199727646,Nb94:0.058;C14:0.022;Tc99:0.002;Ni63:0.000
100,FW,100yr,0.08199229613190273,3.250648648518052,Class C,1.7121732291392813,0.011616097983667624,1.773049063340618,1.0237981166805106e-09,0.00027030946034029045,Nb94:0.058;C14:0.021;Tc99:0.002;Ni63:0.000
100,FW,1000yr,0.07775550141593,2.5051250393781186,Class C,1.5346755206248046,0.011264556649714975,0.003728870155824219,1.0236255152432524e-09,0.00027019926848337094,Nb94:0.056;C14:0.019;Tc99:0.002;Ni59:0.000
100,BLK_front,shutdown,0.14634157329368877,4.475286422053639,Class C,1.9350557885809614,0.023930727792412936,2.927944402691584,7.320543502587088e-10,0.0001948296751915936,Nb94:0.120;C14:0.024;Tc99:0.002;Ni63:0.000
100,BLK_front,1d,0.14634470476225842,4.475301234526601,Class C,1.9350551443307487,0.023930859917708495,2.9278894977858596,7.320543894884425e-10,0.00019482969110271606,Nb94:0.120;C14:0.024;Tc99:0.002;Ni63:0.000
100,BLK_front,1wk,0.14635151412767305,4.475270320812247,Class C,1.9350512788339667,0.023930846494732278,2.9275600882973527,7.320543872356122e-10,0.00019482969356884977,Nb94:0.120;C14:0.024;Tc99:0.002;Ni63:0.000
100,BLK_front,1mo,0.14635285594130168,4.474904312083044,Class C,1.935036461167844,0.02393079504005977,2.926297695217553,7.320543785997621e-10,0.00019482968801095703,Nb94:0.120;C14:0.024;Tc99:0.002;Ni63:0.000
100,BLK_front,1yr,0.1463437849961082,4.469301253448574,Class C,1.934820490458103,0.023930045044837936,2.9079586184019237,7.320542527228604e-10,0.00019482960699549956,Nb94:0.120;C14:0.024;Tc99:0.002;Ni63:0.000
100,BLK_front,10yr,0.14625565898609857,4.416130913581999,Class C,1.9327040944608171,0.023922692309913212,2.7341150601605166,7.320530184545053e-10,0.00019482881261081864,Nb94:0.120;C14:0.024;Tc99:0.002;Ni63:0.000
100,BLK_front,100yr,0.14544524876795517,4.024929657183429,Class C,1.9116670432185445,0.0238492891020923,1.4760546519536741,7.320406758854075e-10,0.0001948208689421491,Nb94:0.119;C14:0.024;Tc99:0.002;Ni63:0.000
100,BLK_front,1000yr,0.13914183618406767,3.3199750789966322,Class C,1.7134881943502491,0.023127531166117574,0.003104266122035786,7.319172616392481e-10,0.0001947414500668777,Nb94:0.116;C14:0.021;Tc99:0.002;Ni59:0.000
100,BLK_mid,shutdown,0.16599320244092355,3.7920905277126966,Class C,1.428896390196086,0.029263699545125917,1.8435160744120662,1.384726117300585e-10,9.850284014525911e-05,Nb94:0.146;C14:0.018;Tc99:0.001;Ni63:0.000
100,BLK_mid,1d,0.1659959001754175,3.792107104940248,Class C,1.4288959144646858,0.02926386681637006,1.8434815046394122,1.3847261470287102e-10,9.850284571390037e-05,Nb94:0.146;C14:0.018;Tc99:0.001;Ni63:0.000
100,BLK_mid,1wk,0.1660010019056694,3.7920957253362686,Class C,1.4288930600795917,0.029263850402075322,1.8432740991686867,1.3847261427673416e-10,9.850284636054317e-05,Nb94:0.146;C14:0.018;Tc99:0.001;Ni63:0.000
100,BLK_mid,1mo,0.1660019161824666,3.791865742287259,Class C,1.4288821183228955,0.02926378748069731,1.842479261011046,1.3847261264320988e-10,9.850284355052643e-05,Nb94:0.146;C14:0.018;Tc99:0.001;Ni63:0.000
100,BLK_mid,1yr,0.16599368669626083,3.788309124873144,Class C,1.4287226398368709,0.029262870348577493,1.8309324629002104,1.384725888328155e-10,9.85028025903781e-05,Nb94:0.146;C14:0.018;Tc99:0.001;Ni63:0.000
100,BLK_mid,10yr,0.1659135066236537,3.754524758904798,Class C,1.427159837038838,0.02925387905213799,1.7214756734410825,1.3847235536332358e-10,9.850240096190588e-05,Nb94:0.146;C14:0.018;Tc99:0.001;Ni63:0.000
100,BLK_mid,100yr,0.16515684858184201,3.5039033772910937,Class C,1.4116255218227907,0.029164117894162372,0.9293654875880082,1.384700206900537e-10,9.849838476724803e-05,Nb94:0.146;C14:0.018;Tc99:0.001;Ni63:0.000
